LineNum,RightTrunkZ,RightTrunkX,RightTrunkY,RightShankY,RightFootY,RightFootX,LeftTrunkZ,LeftTrunkX,LeftTrunkY,LeftShankY,LeftFootY,LeftFootX,RightArmY,RightArmX,RightForearmY,LeftArmY,LeftArmX,LeftForearmY
127,0.0141605238152729,-0.122915383054628,-0.53083925220529,1.07321979988627,-0.542380547680974,0.122915383054635,0.014160523815297,0.0138894126019841,-0.537930580409171,1.09786322883488,-0.55993264842559,-0.0138894126019642,0.625411399664379,-0.649573623274199,-1.63136874199765,0.664639047438107,0.632818673675386,-1.66833934592895
128,0.0151112715707252,-0.126522348979923,-0.53022396218788,1.071692194384,-0.541468232196118,0.12652234897993,0.0151112715707498,0.0102310754867222,-0.537793117722771,1.09799161030255,-0.560198492579648,-0.0102310754867034,0.624056610968493,-0.649984684372907,-1.63010249282031,0.66592244203565,0.632172812757333,-1.66952995351177
129,0.016097095341881,-0.130256713419305,-0.529559902795709,1.07005990424436,-0.540500001448646,0.13025671341931,0.0160970953419087,0.00644001607273121,-0.537625252121669,1.09807746888019,-0.560452216758386,-0.00644001607271519,0.622649348347885,-0.650402274049046,-1.6287874893072,0.667250838821003,0.631495949395609,-1.67076136676227
130,0.0171172550774182,-0.134114933727225,-0.528844747492089,1.06831891891369,-0.539474171421594,0.13411493372723,0.0171172550774452,0.00251946909983718,-0.53742444879922,1.09811576126532,-0.56069131246597,-0.00251946909982161,0.621190412552582,-0.6508252136184,-1.62742451525964,0.668622998514097,0.630787801705672,-1.67203232751008
131,0.018170867385727,-0.138092887690296,-0.528076256429203,1.06646544780426,-0.538389191375052,0.138092887690302,0.0181708673857532,-0.0015267388608069,-0.537188203445797,1.09810144065274,-0.560913237206807,0.00152673886082263,0.619680811761285,-0.651252268935264,-1.62601455159675,0.670037491860793,0.630048189592857,-1.67334139656211
132,0.0192569025446217,-0.142185866103069,-0.527252306892872,1.06449597793473,-0.537243671041857,0.142185866103077,0.0192569025446473,-0.0056941776035192,-0.536914070791203,1.0980295087016,-0.56111543791027,0.00569417760353571,0.618121768903751,-0.651682157996921,-1.62455878334136,0.671492698605827,0.629277046396703,-1.67468695313608
133,0.0203741818946214,-0.146388568339792,-0.526370925729523,1.06240733505284,-0.536036409323309,0.146388568339799,0.0203741818946438,-0.00997780426234239,-0.536599695081453,1.09789507132549,-0.561295376243902,0.00997780426235889,0.616514728640606,-0.652113559561345,-1.62305860610698,0.672986807135872,0.628474430653408,-1.6760671951578
134,0.0215213773626574,-0.150695108226335,-0.525430321975379,1.06019674421712,-0.534766422241736,0.150695108226341,0.0215213773626784,-0.0143719645619047,-0.536242841715352,1.09769339758823,-0.561450555872736,0.0143719645619189,0.614861361477134,-0.652545123799181,-1.62151562953204,0.67451781706104,0.627640536112816,-1.67748014270553
135,0.0226970116082358,-0.155099021895036,-0.524428920955132,1.05786189284469,-0.533432971889558,0.155099021895041,0.0226970116082644,-0.0188703959665038,-0.535841429914276,1.09741998081665,-0.561578550902231,0.0188703959665182,0.613163567005291,-0.652975482459746,-1.61993168024775,0.676083542764884,0.626775702853919,-1.67892364208856
136,0.0238994577983476,-0.159593275237613,-0.523365400189537,1.05540099723695,-0.532035597047401,0.159593275237619,0.0238994577983682,-0.0234662303379114,-0.535393566524362,1.09707060174209,-0.561677035217607,0.0234662303379259,0.611423477717764,-0.653403258967851,-1.61830880536,0.677681616497723,0.625880429160048,-1.68039536960403
137,0.0251269391984041,-0.164170272159023,-0.522238726738115,1.05281287180893,-0.530574145070806,0.164170272159025,0.0251269391984261,-0.0281519973704028,-0.534897580738413,1.0966413933637,-0.561743812625144,0.0281519973704136,0.609643463110058,-0.653827078762772,-1.61664927604658,0.679309491210971,0.624955383598847,-1.68189283528792
138,0.0263775289903007,-0.168821865196784,-0.521048195397422,1.05009699978454,-0.529048804387116,0.168821865196789,0.0263775289903192,-0.032919630458928,-0.534352059339252,1.09612890696145,-0.561776847622073,0.0329196304589425,0.607826133434,-0.654245579947884,-1.61495559066573,0.680964443636543,0.624001416873941,-1.68341338713873
139,0.0276491507796542,-0.173539370227666,-0.519793466978074,1.04725360373361,-0.527460136755531,0.173539370227671,0.0276491507796733,-0.0377604768361881,-0.533755881910969,1.09553017841518,-0.561774296504094,0.0377604768361994,0.6059743423793,-0.654657424309673,-1.61323047668743,0.682643578169541,0.623019572916606,-1.68495421634108
140,0.0289395803213017,-0.178313587175611,-0.518474605646122,1.04428371386107,-0.525809108214945,0.178313587175614,0.0289395803213159,-0.0426653140316764,-0.533108255279612,1.09484279366635,-0.561734538386605,0.0426653140316876,0.604091187848484,-0.655061308746095,-1.61147689065604,0.68434383218791,0.622011098577603,-1.68651236407945
141,0.0302464490794195,-0.18313482889063,-0.517092114024445,1.04118923138634,-0.52409711736189,0.183134828890635,0.0302464490794346,-0.0476243749907487,-0.532408746224914,1.09406495178007,-0.561656205555029,0.047624374990762,0.602180009848823,-0.655455977128831,-1.60969801526117,0.686061983543771,0.620977451146378,-1.68808473061704
142,0.0315672503504977,-0.187992960697844,-0.515646964396166,1.03797298365086,-0.522326019254695,0.187992960697848,0.0315672503505107,-0.0526273845545168,-0.531657311241817,1.09319552361636,-0.561538212374407,0.0526273845545294,0.600244384346108,-0.655840232607721,-1.60789725242838,0.68779466109379,0.619920302765676,-1.68966808742551
143,0.032899348818299,-0.192877453531146,-0.514140623926109,1.03463876674578,-0.520498142819669,0.192877453531152,0.0328993488183082,-0.0576636104550477,-0.530854321819374,1.09223410359043,-0.561379781770926,0.0576636104550599,0.598288111702993,-0.656212950349214,-1.60607821113735,0.689538359306053,0.618841540621603,-1.69125909329244
144,0.0342399945842728,-0.197777454081161,-0.512575071306429,1.03119137043583,-0.518616299129396,0.197777454081166,0.0342399945842812,-0.0627219325392164,-0.530000583337557,1.09118105138215,-0.561180468044465,0.0627219325392288,0.596315198052826,-0.656573090683395,-1.60424468842705,0.691289458194374,0.617743261568416,-1.69285431550939
145,0.0355863429284565,-0.202681876012038,-0.510952801629009,1.02763657895089,-0.516683777321871,0.202681876012045,0.0355863429284587,-0.0677909346092663,-0.529097345253794,1.0900375197331,-0.56094017447917,0.0677909346092786,0.594329827632333,-0.65691971261501,-1.60240064174911,0.6930442500926,0.616627759591904,-1.69445025745802
