LineNum,RightTrunkZ,RightTrunkX,RightTrunkY,RightShankY,RightFootY,RightFootX,LeftTrunkZ,LeftTrunkX,LeftTrunkY,LeftShankY,LeftFootY,LeftFootX,RightArmY,RightArmX,RightForearmY,LeftArmY,LeftArmX,LeftForearmY
1,-0.129615630314277,0.20959382817301,-0.475328563510523,1.01939250182736,-0.544064323307093,-0.209593830901118,-0.0248974646292572,0.334281241477014,-0.464242693031666,0.88692448602275,-0.422682189287139,-0.334281283534578,0.744157665194064,-0.584952602010269,-1.738015293268,0.528614639283344,0.653616226914734,-1.5461830868099
2,-0.129559911625601,0.209741197783684,-0.475622931011216,1.01985550112948,-0.544226720102803,-0.209741198022955,-0.0248538497602659,0.334642000810711,-0.465819063013817,0.889936856199315,-0.424111769093482,-0.334641402926317,0.744155521711661,-0.585124471969743,-1.73826842705565,0.528751342153351,0.65404261172988,-1.54641083253451
3,-0.129453052185622,0.209910811038937,-0.476147851318776,1.02067073877247,-0.544511559098389,-0.209910807701288,-0.0247778127816748,0.335164733588314,-0.468438841056452,0.89494320148742,-0.426492693317756,-0.335163572364794,0.744144340724056,-0.585460318870747,-1.73866835434593,0.528988581610124,0.654720233151559,-1.54681034899515
4,-0.129294126566651,0.210101932362454,-0.476892671728879,1.02182277008099,-0.544913206440953,-0.210101926482194,-0.0246771628747955,0.335844096405825,-0.47204098014538,0.901830186646218,-0.429771805941966,-0.335842364950959,0.744127841795334,-0.585957247464065,-1.73920962942111,0.529321760876168,0.655637790394658,-1.54737429492633
5,-0.129082558487915,0.210313730485385,-0.477847681428773,1.02329637708249,-0.545426177695553,-0.210313722600792,-0.024559423536677,0.336674953542744,-0.476561624770939,0.910476579738487,-0.433891752966518,-0.33667264741978,0.744110630828708,-0.586614555970838,-1.73988768673462,0.529746344113303,0.656784586463641,-1.54809594885111
6,-0.128818544576277,0.210545228764447,-0.479002945092371,1.02507627667904,-0.546045206631031,-0.210545219433234,-0.0244323700105162,0.33765238669556,-0.481934358455469,0.920755687846758,-0.438792341017526,-0.337649510632398,0.744098363239007,-0.587433293945028,-1.74069829807509,0.530257316459079,0.658149379395768,-1.5489685673439
7,-0.128502651317626,0.210795373952542,-0.480348270389352,1.02714707407407,-0.546765130944631,-0.210795363762639,-0.0243036496336235,0.338771710672864,-0.488091234723894,0.932537764222865,-0.444411810352278,-0.338768274456856,0.74409703770449,-0.588415143941277,-1.74163730467899,0.530849718632049,0.659721028661563,-1.54998543734728
8,-0.128135647780958,0.211063065366653,-0.481873330742969,1.02949329507835,-0.547580824932844,-0.21106305490371,-0.0241806219033234,0.340028444892673,-0.494963932840892,0.945692248595876,-0.450687943211625,-0.340024461572918,0.74411267475316,-0.589562035616007,-1.74270052927995,0.531518755096479,0.66148867853831,-1.55113988753561
9,-0.127718380171258,0.21134717791081,-0.483567748134728,1.03209941177084,-0.548487147123828,-0.211347167745576,-0.0240702427044805,0.341418285126913,-0.502484734359388,0.960089694113362,-0.457559019120003,-0.341413769710146,0.74415106013371,-0.590875824180694,-1.74388369522722,0.532259862144103,0.663441873516783,-1.55242528273113
10,-0.127251671186736,0.211646581260887,-0.485421161074216,1.03494986705839,-0.549478899550673,-0.211646571944811,-0.0239789736316589,0.342937074988251,-0.510587323586793,0.975603351323382,-0.464964601146778,-0.342932043407207,0.744217536533824,-0.59235802007453,-1.74518236030017,0.533068759326375,0.665570644484301,-1.55383501738352
11,-0.126736249052071,0.211960154297998,-0.487423280926516,1.03802909958203,-0.550550799491265,-0.211960146363957,-0.0239127209239886,0.34458077580315,-0.519207415605342,0.992110407877528,-0.472846150826524,-0.344575244209269,0.744316851449058,-0.594009584729597,-1.74659186895094,0.533941475053236,0.667865555275199,-1.55536250727374
12,-0.126172703867054,0.212286795100652,-0.48956393611534,1.04132156828209,-0.551697462751608,-0.212286789067112,-0.0238768017362936,0.346345434868821,-0.528283220155056,1.0094929026881,-0.481147481427608,-0.34633941922661,0.744453056862529,-0.595830786149064,-1.74810732124671,0.534874349011131,0.67031771250885,-1.5570011795883
13,-0.125561466998619,0.212625427117527,-0.491833105031545,1.0448117760607,-0.552913396888922,-0.212625423494426,-0.023875933499062,0.348227152264236,-0.537755757574988,1.02763834777312,-0.489815066389647,-0.348220668200517,0.74462945334739,-0.597821104761526,-1.74972355619044,0.535864016042702,0.672918744853091,-1.55874446210154
14,-0.1249028087964,0.212975002228084,-0.494220938971717,1.04848429207068,-0.554193002528116,-0.212975001523149,-0.02391424165273,0.350222046442764,-0.547569047222546,1.04644009885703,-0.498798223526015,-0.350215109297361,0.744848570329938,-0.599979179379494,-1.75143514687635,0.536907376314564,0.675660758430259,-1.5605857722075
15,-0.124196849981624,0.213334501402304,-0.496717776592334,1.05232377223638,-0.55553058089814,-0.213334504126904,-0.0239952811059184,0.35232621885616,-0.557670190200984,1.06579751832242,-0.508049196763325,-0.352318843880075,0.745112174264025,-0.60230278334367,-1.75323640492311,0.538001556342942,0.678536274925457,-1.56251850644318
16,-0.123443582519691,0.213702933610746,-0.499314151373419,1.05631497770717,-0.556920345843555,-0.213702940284653,-0.024122067223413,0.354535717844655,-0.568009367724482,1.08561597287048,-0.517523156495692,-0.354527920495989,0.745421297167597,-0.604788821982566,-1.75512139182156,0.539143864808463,0.681538158220438,-1.56453603098974
17,-0.12264289645529,0.214079333540325,-0.502000793484863,1.06044279104202,-0.558356438787192,-0.214079344695067,-0.024297112815224,0.35684650199369,-0.578539774711849,1.10580670461202,-0.527178137756412,-0.356838298288561,0.745776279051848,-0.607433343977516,-1.75708393514119,0.540331746273442,0.684659534339304,-1.56663167346396
18,-0.121794609915683,0.214462758563746,-0.504768627286031,1.06469223001282,-0.559832945378686,-0.214462774744391,-0.0245224683250539,0.359254403120763,-0.589217505781094,1.12628660938761,-0.536974932913234,-0.359245810004459,0.746176818983605,-0.610231560792197,-1.75911764788981,0.541562735084387,0.687893708389583,-1.56879871614971
19,-0.120898500177718,0.214852285306412,-0.507608765500867,1.0690484589908,-0.56134391282458,-0.214852307071777,-0.0247997631055014,0.361755089024178,-0.600001408137037,1.14697795072876,-0.546876952881419,-0.361746124735546,0.746622030698126,-0.613177869810107,-1.7612159496663,0.542834410996708,0.69123408115852,-1.57103039068596
20,-0.119954334294706,0.215247006062797,-0.510512500923256,1.07349679794281,-0.562883367136178,-0.215247033984097,-0.0251302462699089,0.3643440261053,-0.610852913189001,1.16780803257788,-0.556850068201152,-0.364334710514321,0.747110499730182,-0.6162658781212,-1.76337208856065,0.544144357447168,0.69467406715949,-1.57331987413152
21,-0.118961898269521,0.215646025238187,-0.513471296335361,1.07802272911192,-0.56444532973966,-0.215646059896253,-0.0255148261017977,0.367016441968611,-0.621735856281811,1.18870884902003,-0.566862438902947,-0.367006796873132,0.747640339912382,-0.61948842496652,-1.76557916302476,0.545490122934109,0.698207015243673,-1.57566028626429
22,-0.117921024139962,0.216048455932314,-0.516476773172655,1.08261190149271,-0.566023833065507,-0.216048497913515,-0.0259541073835479,0.369767288110471,-0.63261629176287,1.2096167250165,-0.576884339969119,-0.369757337482618,0.748209247795023,-0.622837601688625,-1.76783014315809,0.546869185638129,0.701826132396176,-1.57804468794197
