LineNum,RightTrunkZ,RightTrunkX,RightTrunkY,RightShankY,RightFootY,RightFootX,LeftTrunkZ,LeftTrunkX,LeftTrunkY,LeftShankY,LeftFootY,LeftFootX,RightArmY,RightArmX,RightForearmY,LeftArmY,LeftArmX,LeftForearmY
282,0.130032929764422,-0.297811445175559,-0.450503279764546,0.934622512749049,-0.483988675732491,0.297811430240281,-0.000883083181427562,-0.175878866413119,-0.513741057916126,1.04422016450223,-0.530353430587957,0.175862560161666,0.547998677832875,-0.657834480288946,-1.56109423875461,0.727514222681736,0.58942361973958,-1.72551619935272
283,0.129009625829012,-0.294606902738485,-0.452533359002521,0.93853182694865,-0.485859099655137,0.294606895863013,-0.00190749927751982,-0.172496182981345,-0.514798554751856,1.04631830653009,-0.531385541757311,0.172478768153163,0.549607383915089,-0.657942069623293,-1.56247644522338,0.726246760553408,0.590251405224332,-1.72444938183123
284,0.127918922201635,-0.291174124669373,-0.454672090684812,0.942649348579121,-0.487828844654598,0.291174127385472,-0.0029993463720061,-0.168875192776517,-0.515902765406808,1.04851309387021,-0.532467348320125,0.168856638395746,0.551320426133542,-0.658047139043687,-1.56395077393127,0.724895075045574,0.591133737596457,-1.72330840936888
285,0.126759184531279,-0.287504805384073,-0.456917692720277,0.94697152386788,-0.489896175967694,0.287504819310097,-0.00416025436462204,-0.165007700933788,-0.517050662683932,1.05079932833007,-0.53359671363862,0.164987980439597,0.553140007320696,-0.65814795202837,-1.56551954622851,0.723456929990122,0.592071682819528,-1.72209080236104
286,0.125529049661079,-0.283591246235962,-0.459267351404549,0.951492822288484,-0.492058415789753,0.283591273059087,-0.0053915816812067,-0.160886223119637,-0.518238444803697,1.05317035711176,-0.534770823069613,0.160865314632237,0.555067855879337,-0.658242556422948,-1.56718470033065,0.721930386648733,0.593065994997168,-1.72079428783039
287,0.124227435729439,-0.279426411120455,-0.46171720838196,0.956205716151403,-0.494311935002026,0.279426452576866,-0.00669440528023674,-0.156504046689254,-0.519461525150779,1.05561805098178,-0.535986171535694,0.156481933168379,0.557105207398845,-0.658328785975204,-1.56894777078077,0.720313812581225,0.594117093473694,-1.71941681164842
288,0.122853547440363,-0.275003973460664,-0.464262364133537,0.961100691619727,-0.496652159980379,0.275004031314279,-0.00806951546753132,-0.151855282032756,-0.520714533808625,1.05813280377592,-0.537238560819039,0.151831951351655,0.559252794133987,-0.658404265152001,-1.57080987401385,0.718605884859264,0.59522504407092,-1.71795654726946
289,0.121406877626145,-0.270318357442714,-0.466896895784288,0.966166286906926,-0.499073592424244,0.270318433462954,-0.00951741439926536,-0.146934907058265,-0.521991329853321,1.06070355136343,-0.538523105706821,0.146910352012946,0.56151084071064,-0.658466416912869,-1.57277169875536,0.71680558910661,0.59638954417593,-1.71641190202849
290,0.119887206067137,-0.265364775839708,-0.46961388732798,0.971389153985514,-0.501569840415205,0.26536487177881,-0.0110383173111363,-0.141738807188193,-0.52328502354279,1.06331780851403,-0.539834248275401,0.14171302545885,0.563879064679158,-0.658512473151337,-1.57483350021068,0.714912215662613,0.597609911533401,-1.71478152189582
291,0.118294596395984,-0.260139266310584,-0.472405470633161,0.976754140635369,-0.504133659151804,0.26013938388078,-0.0126321556488748,-0.136263812755451,-0.524588007677082,1.06596172238201,-0.5411657797339,0.136236806834675,0.566356680757619,-0.65853948755674,-1.57699509719229,0.712925354004414,0.59888507669812,-1.7130642954456
292,0.116629391792347,-0.254638727669288,-0.475262875831453,0.982244390108963,-0.506757000020724,0.254638868520177,-0.014298581395882,-0.130507735263253,-0.525891997526766,1.06862014155508,-0.542510869362671,0.130479512363392,0.5689424078006,-0.658544350696271,-1.57925587149261,0.710844886419749,0.600213579174291,-1.71125935767888
293,0.114892210065923,-0.248860957278415,-0.478176489904723,0.987841456101491,-0.509431066861141,0.24886112297474,-0.0160369720022955,-0.124469403603284,-0.527188078832939,1.07127669982096,-0.543862100182269,0.124439975553388,0.571634477699887,-0.658523807168728,-1.58161476894834,0.708670981791708,0.601593567311071,-1.70936609423944
294,0.113083938626288,-0.242804690418504,-0.481135922487938,0.993525431096135,-0.512146378462661,0.242804882418457,-0.0178464354186106,-0.118148701000483,-0.528466763478503,1.07391391398688,-0.54521151107565,0.118118084141582,0.574430645576533,-0.658474474737696,-1.58407030176075,0.706404090234628,0.603022802042632,-1.70738414646965
295,0.111205729746395,-0.23646964220938,-0.48413007808961,0.999275086511773,-0.514892836509857,0.236469861843569,-0.0197258148283947,-0.11154660315928,-0.529718052515249,1.07651329524998,-0.546550645165751,0.111514818245096,0.577328200761996,-0.658392865410405,-1.58662055173953,0.704044939204151,0.604498664558987,-1.70531341767013
296,0.109258996440118,-0.229856552405197,-0.487147234104578,1.00506802341371,-0.517659798347956,0.22985680085628,-0.0216736927615756,-0.104665217817298,-0.53093150630745,1.07905547375926,-0.547870604317149,0.104632289925871,0.58032397819213,-0.658275408487947,-1.58926317422856,0.701594531591488,0.606018167974771,-1.7031540808495
297,0.107245409191969,-0.222967233141403,-0.490175124151352,1.01088083285476,-0.520436154093869,0.22296751142446,-0.0236883943512352,-0.0975078256606785,-0.532096321616411,1.08152033613217,-0.549162109690251,0.0974737841211399,0.583414369953824,-0.658118475669063,-1.59199540255277,0.699054146200415,0.607577973030429,-1.70090658817551
298,0.105166893697779,-0.215804619473675,-0.493201026408079,1.01668926519063,-0.523210407752092,0.215804928417283,-0.0257679895766926,-0.0900789223146312,-0.533201415501762,1.08388717578631,-0.550415568322808,0.0900438006517854,0.586595336830829,-0.657918408341468,-1.59481405289846,0.696425340893232,0.60917440781608,-1.69857168226427
299,0.103025629697468,-0.208372822308425,-0.496211856742837,1.0224684079535,-0.525970762113424,0.208373162536473,-0.0279102944129938,-0.082384260887024,-0.534235515949507,1.08613485601501,-0.551621145746971,0.082348096785261,0.589862419795058,-0.657671547237114,-1.59771552960709,0.693709958577829,0.610803491456862,-1.69615040936848
300,0.100824050904401,-0.200677183076916,-0.499194266533692,1.02819287206484,-0.528705207312424,0.200677554991209,-0.0301128708837585,-0.0744308943077179,-0.535187259151697,1.08824198576699,-0.55276884466867,0.0743937295943495,0.593210751482355,-0.657374264658045,-1.60069583092699,0.690910136089746,0.612460961641533,-1.69364413444539
