LineNum,RightTrunkZ,RightTrunkX,RightTrunkY,RightShankY,RightFootY,RightFootX,LeftTrunkZ,LeftTrunkX,LeftTrunkY,LeftShankY,LeftFootY,LeftFootX,RightArmY,RightArmX,RightForearmY,LeftArmY,LeftArmX,LeftForearmY
1,-0.0869583538596176,0.208153507989451,-0.443319606734548,1.01064894129351,-0.56732933455897,-0.208153507989457,-0.0869583538596241,0.336556468447026,-0.23441902683777,0.813017379785039,-0.57859835294728,-0.336556468447034,0.83453168795242,-0.646524568889379,-1.77674502154325,0.5972698255834,0.697260731467176,-1.58237172010253
2,-0.0869076323415245,0.2085213983226,-0.443586182883598,1.01119428442526,-0.56760810154166,-0.208521398322599,-0.0869076323415227,0.337262149503982,-0.236633119333945,0.817800610653062,-0.581167491319127,-0.337262149503977,0.834630700487051,-0.646818228172807,-1.77719816308238,0.59751492502755,0.698060474077233,-1.58267621206555
3,-0.0867611223785511,0.208912885851912,-0.444215092583077,1.01226380151971,-0.568048708936629,-0.208912885851913,-0.0867611223785549,0.338218158134888,-0.240479567878193,0.825905627430354,-0.585426059552166,-0.338218158134895,0.834650762496029,-0.647331528121975,-1.77784170212371,0.597938115833737,0.699309811518249,-1.5832205197381
4,-0.0865291054256089,0.209326570701336,-0.445187749178028,1.01383049234798,-0.568642743169954,-0.209326570701334,-0.0865291054256012,0.339414719189087,-0.245845712984245,0.837076229574491,-0.591230516590249,-0.33941471918908,0.834601282256071,-0.648065896133915,-1.77866661205939,0.598520313069761,0.700976870389558,-1.58398930264139
5,-0.0862251975824285,0.209760460712669,-0.446484479058349,1.01586740663731,-0.569382927578966,-0.209760460712665,-0.0862251975824307,0.340842369095379,-0.252608131908892,0.851036288867676,-0.598428156958793,-0.340842369095381,0.83449792657893,-0.649032269671583,-1.77966554110511,0.599238739313369,0.703024865060029,-1.5849668709703
6,-0.0858636604628997,0.210212365446187,-0.448085084370526,1.0183474929125,-0.570262408541967,-0.210212365446188,-0.0858636604629013,0.342492093633033,-0.260637377217245,0.867499542047022,-0.60686216482978,-0.342492093633039,0.834358338722805,-0.650244678312324,-1.78083179344497,0.600070713376968,0.705417005345599,-1.58613792325651
7,-0.0854584790027207,0.210680013676179,-0.449969178112357,1.02124357224007,-0.571274394127716,-0.210680013676178,-0.0854584790027203,0.344355269872492,-0.26980262701782,0.886178629513929,-0.616376002496113,-0.344355269872494,0.834200384526086,-0.651717880698189,-1.78215881448977,0.600994522460309,0.708117669806866,-1.58748759427109
8,-0.0850225233855786,0.211161159518738,-0.452116472435234,1.02452832344551,-0.572411851010266,-0.211161159518737,-0.0850225233855905,0.346423610397433,-0.279975393427447,0.906792327935257,-0.6268169345078,-0.346423610397425,0.834040598421485,-0.653465193210182,-1.78363974596336,0.601990296250898,0.711093562956212,-1.58900153068812
9,-0.0845670229789401,0.21165364724371,-0.454506989688031,1.02817429288319,-0.573667303195161,-0.211653647243707,-0.0845670229789332,0.348689086692568,-0.291032296767059,0.929070908449005,-0.638038611681948,-0.348689086692571,0.833893150496747,-0.655497017875059,-1.78526711701373,0.603040502937746,0.714314372117033,-1.59066590520916
10,-0.0841013054538373,0.212155441171782,-0.45712120351113,1.03215392529451,-0.575032721783386,-0.212155441171784,-0.0841013054538339,0.351143834145998,-0.30285695128611,0.952759722114026,-0.649902770827929,-0.351143834146001,0.83376926456003,-0.657819966479411,-1.78703265710726,0.604130134293942,0.717753007943213,-1.59246738621301
11,-0.083632748913144,0.212664627416682,-0.459940120649967,1.03643961075344,-0.576499490103472,-0.212664627416681,-0.0836327489131455,0.353780041318519,-0.315341084827461,0.977621263559003,-0.662280178731541,-0.353780041318522,0.833677003652425,-0.660436468177196,-1.7889272107558,0.605246644859364,0.721385511991924,-1.59439307631926
12,-0.0831668834742691,0.213179395959978,-0.462945316607032,1.04100374132895,-0.578058424721925,-0.213179395959971,-0.0831668834742824,0.356589827656977,-0.328385042478908,1.00343602119094,-0.675050978712038,-0.356589827656977,0.833621321222187,-0.663344722471133,-1.79094072903733,0.606379725901756,0.725190735918175,-1.59643043518059
13,-0.0827075842678965,0.213698010852209,-0.466118937700653,1.04581877137915,-0.579699833678492,-0.21369801085221,-0.0827075842678917,0.35956511371953,-0.341897825217167,1.03000242268404,-0.688104597466895,-0.35956511371952,0.83360428382792,-0.666538870812422,-1.79306231387686,0.607520986758729,0.72914988733464,-1.59856719904118
14,-0.0822573096491718,0.214218774729323,-0.46944368018646,1.05085727644368,-0.581413596257219,-0.214218774729319,-0.0822573096491723,0.362697487242674,-0.355796798859595,1.05713615067774,-0.701339351818144,-0.362697487242663,0.833625389108236,-0.67000928533689,-1.79528029479414,0.608663599930876,0.733246017011319,-1.60079130565579
