LineNum,servo01,servo02,servo03,servo04,servo05,servo06,servo07,servo08,servo09,servo10,servo11,servo12,servo13,servo14,servo15,servo16,servo17,servo18
1,-0,-0.0450160220318659,-0.519555935476065,1.03911187095213,-0.519555935476065,0.0450160220318659,-0,0.0450160220318659,-0.519555935476065,1.03911187095213,-0.519555935476065,-0.0450160220318659,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
2,-0,-0.0450188348099711,-0.519665087364563,1.03933017472913,-0.519665087364563,0.0450188348099711,-0,0.0450188348099711,-0.519665087364563,1.03933017472913,-0.519665087364563,-0.0450188348099711,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
3,-0,-0.0450230546358206,-0.519828776136761,1.03965755227352,-0.519828776136761,0.0450230546358206,-0,0.0450230546358206,-0.519828776136761,1.03965755227352,-0.519828776136761,-0.0450230546358206,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
4,-0,-0.0450286823001899,-0.520046954989338,1.04009390997868,-0.520046954989338,0.0450286823001899,-0,0.0450286823001899,-0.520046954989338,1.04009390997868,-0.520046954989338,-0.0450286823001899,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
5,-0,-0.045035718858022,-0.520319561633166,1.04063912326633,-0.520319561633166,0.045035718858022,-0,0.045035718858022,-0.520319561633166,1.04063912326633,-0.520319561633166,-0.045035718858022,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
6,-0,-0.0450441656289221,-0.520646518391605,1.04129303678321,-0.520646518391605,0.0450441656289221,-0,0.0450441656289221,-0.520646518391605,1.04129303678321,-0.520646518391605,-0.0450441656289221,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
7,-0,-0.0450540241977756,-0.52102773232271,1.04205546464542,-0.52102773232271,0.0450540241977756,-0,0.0450540241977756,-0.52102773232271,1.04205546464542,-0.52102773232271,-0.0450540241977756,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
8,-0,-0.0450652964154924,-0.521463095364914,1.04292619072983,-0.521463095364914,0.0450652964154924,-0,0.0450652964154924,-0.521463095364914,1.04292619072983,-0.521463095364914,-0.0450652964154924,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
9,-0,-0.0450779843998753,-0.52195248450568,1.04390496901136,-0.52195248450568,0.0450779843998753,-0,0.0450779843998753,-0.52195248450568,1.04390496901136,-0.52195248450568,-0.0450779843998753,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
10,-0,-0.0450920905366161,-0.522495761972513,1.04499152394503,-0.522495761972513,0.0450920905366161,-0,0.0450920905366161,-0.522495761972513,1.04499152394503,-0.522495761972513,-0.0450920905366161,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
11,-0,-0.0451076174804175,-0.52309277544568,1.04618555089136,-0.52309277544568,0.0451076174804175,-0,0.0451076174804175,-0.52309277544568,1.04618555089136,-0.52309277544568,-0.0451076174804175,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
12,-0,-0.0451245681562446,-0.523743358291896,1.04748671658379,-0.523743358291896,0.0451245681562446,-0,0.0451245681562446,-0.523743358291896,1.04748671658379,-0.523743358291896,-0.0451245681562446,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
13,-0,-0.0451429457607047,-0.524447329818169,1.04889465963634,-0.524447329818169,0.0451429457607047,-0,0.0451429457607047,-0.524447329818169,1.04889465963634,-0.524447329818169,-0.0451429457607047,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
14,-0,-0.0451627537635579,-0.525204495544958,1.05040899108992,-0.525204495544958,0.0451627537635579,-0,0.0451627537635579,-0.525204495544958,1.05040899108992,-0.525204495544958,-0.0451627537635579,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
15,-0,-0.0451839959093598,-0.526014647497699,1.0520292949954,-0.526014647497699,0.0451839959093598,-0,0.0451839959093598,-0.526014647497699,1.0520292949954,-0.526014647497699,-0.0451839959093598,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
16,-0,-0.045206676219237,-0.526877564515773,1.05375512903155,-0.526877564515773,0.045206676219237,-0,0.045206676219237,-0.526877564515773,1.05375512903155,-0.526877564515773,-0.045206676219237,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
17,-0,-0.0452307989927979,-0.527793012577858,1.05558602515572,-0.527793012577858,0.0452307989927979,-0,0.0452307989927979,-0.527793012577858,1.05558602515572,-0.527793012577858,-0.0452307989927979,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
18,-0,-0.0452563688101799,-0.528760745142661,1.05752149028532,-0.528760745142661,0.0452563688101799,-0,0.0452563688101799,-0.528760745142661,1.05752149028532,-0.528760745142661,-0.0452563688101799,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
19,-0,-0.045283390534235,-0.529780503503917,1.05956100700783,-0.529780503503917,0.045283390534235,-0,0.045283390534235,-0.529780503503917,1.05956100700783,-0.529780503503917,-0.045283390534235,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
20,-0,-0.0453118693128561,-0.530852017158557,1.06170403431711,-0.530852017158557,0.0453118693128561,-0,0.0453118693128561,-0.530852017158557,1.06170403431711,-0.530852017158557,-0.0453118693128561,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
21,-0,-0.0453418105814448,-0.531975004186924,1.06395000837385,-0.531975004186924,0.0453418105814448,-0,0.0453418105814448,-0.531975004186924,1.06395000837385,-0.531975004186924,-0.0453418105814448,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
22,-0,-0.0453732200655252,-0.533149171643881,1.06629834328776,-0.533149171643881,0.0453732200655252,-0,0.0453732200655252,-0.533149171643881,1.06629834328776,-0.533149171643881,-0.0453732200655252,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
23,-0,-0.0454061037835038,-0.534374215959672,1.06874843191934,-0.534374215959673,0.0454061037835038,-0,0.0454061037835038,-0.534374215959672,1.06874843191934,-0.534374215959673,-0.0454061037835038,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
24,-0,-0.045440468049579,-0.535649823349363,1.07129964669873,-0.535649823349363,0.045440468049579,-0,0.045440468049579,-0.535649823349363,1.07129964669873,-0.535649823349363,-0.045440468049579,0.641767857762146,-0.0104027835634102,-1.17049165269399,0.641767857762146,0.0104027835634102,-1.17049165269399
